ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (g)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Meta: surerank_seo_checks_last_updated","Meta: feature_image_1","Meta: _feature_image_1","Meta: feature_text_1","Meta: _feature_text_1","Meta: site-sidebar-layout","Meta: ast-site-content-layout","Meta: site-content-style","Meta: site-sidebar-style","Meta: theme-transparent-header-meta","Meta: astra-migrate-meta-layouts","Meta: _uag_css_file_name","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global"
6077,variable,DHC-NAN-36,,"Lobhan Earthy Resin Dhoop Cones | Easy-Light Temple Cones - Pack of 36",1,0,visible,"Lobhan Dhoop Cones capture Sridattam's deep, smoky, earthy fragrance in an easy-light cone - 36 cones per box for an instant temple-style pooja atmosphere.","Lobhan Dhoop Cones bring the resinous, temple-style depth of Sridattam's boldest fragrance into a quick, easy cone format. Light it, place it on any heatproof surface, and let the smoky aroma transform your space in minutes - no holder required.\n\nWhy you'll love these dhoop cones: - Deep, smoky, earthy character inspired by classic temple dhoop - No holder needed - light and place on any heatproof plate - Fast-lighting with strong, long-lasting fragrance - Ideal for havan, festive pooja and spaces that need a stronger aroma - 36 cones per box\n\nPlace on a heat-resistant plate, light the tip, let it flame briefly, then blow out to let it smoulder. Ensure good ventilation. Store in a cool, dry place.\n\nNandanam Dhoop Cones - instant depth and reverence for your ritual.",,,taxable,,1,,,0,0,,,,,1,,,,"Dhoop Cones","Dhoop Cones, Earthy, Nandanam, Resin, Sridattam, Temple",,https://goldenrod-dolphin-529784.hostingersite.com/wp-content/uploads/2026/07/file_000000009d9871faaa525bb2650f1e92.png,,,,,,,,,0,Sridattam,"Aroma Family","Deep Earthy-Resin",1,1,1787158739,,field_6a12d2be6501e,,field_6a12d32ad47fa,default,default,default,default,default,set,,Color,"red, green, rosd",1,0,Size,"L, M, N",1,0
6078,simple,DHC-TRI-36,,"Trishakthi Triple Emotion Dhoop Cones Combo - Pack of 36",1,1,visible,"Trishakthi Dhoop Cones combine all three Sridattam moods - Rajahmasa, Kalyani and Nandanam - 12 cones each, 36 in total, for a complete experience in one box.","<p>Trishakthi Dhoop Cones give you the best of all three signature Sridattam moods in one box: 12 cones each of Rajahmasa, Kalyani and Nandanam - 36 cones total. Switch fragrances by mood, occasion or time of day, all without needing multiple boxes.</p><p>Why you'll love Trishakthi Dhoop Cones: - 3 signature Sridattam moods, 12 cones each, 36 cones total - No holder needed - light and place on any heatproof surface - Great for households that like variety in daily pooja - A well-rounded gifting option for festivals and housewarmings - Fast-lighting, long-lasting fragrance</p><p>Place on a heat-resistant plate, light the tip briefly, then blow out to let it smoulder. Store in a cool, dry place.</p><p>One box, three moods - Trishakthi Dhoop Cones for every mood and moment.</p>",,,taxable,,1,,,0,0,,,,,1,,109,119,"Dhoop Cones","Combo, Dhoop Cones, Gifting, Mixed, Sridattam, Trishakthi",,https://goldenrod-dolphin-529784.hostingersite.com/wp-content/uploads/2026/07/file_000000009e0471fabf4ef53506974aa8.png,,,,,,,,,0,Sridattam,"Aroma Family","Deep Earthy-Resin), Mixed (Royal Floral, Serene Floral",1,1,1783876311,,field_6a12d2be6501e,,field_6a12d32ad47fa,default,default,default,default,default,set,uag-css-6078.css,,,,,,,,
6079,simple,SMB-SAN-09,,"Sannidya DIY Sambrani Cup Ritual Kit | Cowdung Cups + 2 Powders + Steel Holder - 9 Cups",1,1,visible,"Sannidya is Sridattam's DIY sambrani cup kit - natural cowdung and herbal empty cups, 2 premium sambrani powder blends, and a steel holder plate. 9 cups per pack for a truly personal ritual.","<p>Sannidya reimagines the traditional sambrani cup as a hands-on ritual. Instead of a pre-filled cup, you get empty cups handcrafted from natural cowdung and herbs, along with two distinct premium sambrani powder blends and a sturdy steel holder plate - so you can fill, pack and light your own sambrani cup exactly the way your family always has.</p><p>What's inside the Sannidya kit: - 9 empty dhoop cups made from natural cowdung and herbal blend - 2 varieties of premium sambrani powder (fill and mix as you like) - 1 steel plate holder for safe, stable burning - A genuinely interactive, first-of-its-kind DIY pooja experience from Sridattam</p><p>Why families love Sannidya: - Fill your own cup and control the intensity of fragrance - 100% natural cowdung base, no synthetic binders - A meaningful ritual activity for the whole family, especially during festivals - Reusable steel holder plate for future refills</p><p>How to use: take an empty cup, fill it with your chosen sambrani powder (or blend both for a custom fragrance), pack gently, place on the steel holder, light the top layer of powder, and let it smoulder.</p><p>Sannidya is not just a product - it is a ritual you build with your own hands.</p>",,,taxable,,1,,,0,0,,,,,1,,119,149,"Sambrani Kits","Cow Dung, DIY Kit, Gifting, Havan, Sambrani, Sannidya, Sridattam",,https://goldenrod-dolphin-529784.hostingersite.com/wp-content/uploads/2026/07/file_00000000a4b0720780caaa10a75fad78.png,,,,,,,,,0,Sridattam,"Aroma Family","Sambrani (unscented category - no aroma-family label needed)",1,1,1783876311,,field_6a12d2be6501e,,field_6a12d32ad47fa,default,default,default,default,default,set,uag-css-6079.css,,,,,,,,
6080,simple,HAM-SAN-01,,"Sankalpa Premium Spiritual Gift Hamper | 4 Signature Moods + Dhoop + Sambrani Kit",1,1,visible,"Sankalpa is Sridattam's flagship gift hamper - all 4 signature emotions (30 sticks each), Trishakthi dhoop sticks, Trishakthi dhoop cones and a Sannidya sambrani kit, curated for festivals, weddings and corporate gifting.","<p>Sankalpa - meaning 'sacred intention' - is Sridattam's flagship gift hamper, built for the moments that deserve more than a single product. It brings together our entire fragrance universe in one premium box: every signature mood, our mixed dhoop sticks and cones, and the interactive Sannidya sambrani kit.</p><p>What's inside the Sankalpa hamper: - All 4 Sridattam signature moods - Rajahmasa, Kalyani, Chandanavana and Nandanam - 30 sticks each - Trishakthi bambooless dhoop sticks (mixed mood combo) - Trishakthi dhoop cones (mixed mood combo) - Sannidya DIY sambrani cup kit with cowdung cups, 2 sambrani powders and steel holder</p><p>Why Sankalpa makes the perfect gift: - A complete, curated fragrance journey, not just a single product - Ideal for Diwali, weddings, housewarmings, corporate gifting and return gifts - Premium presentation, ready to gift as-is - Introduces the receiver to the entire Sridattam range in one box</p><p>Sankalpa is more than a hamper - it is an invitation to bring intention, ritual and fragrance into someone's home. True to Sridattam's promise - spiritually rooted in tradition.</p>",,,taxable,,1,,,0,0,,,,,1,,549,699,"Ritual Kit","Combo, Corporate Gifting, Festival, Gift Hamper, Premium, Sankalpa, Sridattam",,https://goldenrod-dolphin-529784.hostingersite.com/wp-content/uploads/2026/06/kit.png,,,,,,,,,0,Sridattam,"Aroma Family","Deep Earthy-Resin), Mixed (Royal Floral, Sacred Woody, Serene Floral",1,1,1783867301,,field_6a12d2be6501e,,field_6a12d32ad47fa,default,default,default,default,default,set,uag-css-6080.css,,,,,,,,
6104,variation,,,"Lobhan Earthy Resin Dhoop Cones | Easy-Light Temple Cones - Pack of 36 - red",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,DHC-NAN-36,,,,,,10,,Color,red,,0,,,,,,,,,,,,,Size,,,0,,,,
6105,variation,,,"Lobhan Earthy Resin Dhoop Cones | Easy-Light Temple Cones - Pack of 36 - green",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,DHC-NAN-36,,,,,,11,,Color,green,,0,,,,,,,,,,,,,Size,,,0,,,,
6106,variation,,,"Lobhan Earthy Resin Dhoop Cones | Easy-Light Temple Cones - Pack of 36 - rosd",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,DHC-NAN-36,,,,,,12,,Color,rosd,,0,,,,,,,,,,,,,Size,,,0,,,,
6108,variation,,,"Lobhan Earthy Resin Dhoop Cones | Easy-Light Temple Cones - Pack of 36 - red, L",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,DHC-NAN-36,,,,,,1,,Color,red,,0,,,,,,,,,,,,,Size,L,,0,,,,
6109,variation,,,"Lobhan Earthy Resin Dhoop Cones | Easy-Light Temple Cones - Pack of 36 - red, M",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,DHC-NAN-36,,,,,,2,,Color,red,,0,,,,,,,,,,,,,Size,M,,0,,,,
6110,variation,,,"Lobhan Earthy Resin Dhoop Cones | Easy-Light Temple Cones - Pack of 36 - red, N",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,DHC-NAN-36,,,,,,3,,Color,red,,0,,,,,,,,,,,,,Size,N,,0,,,,
6111,variation,,,"Lobhan Earthy Resin Dhoop Cones | Easy-Light Temple Cones - Pack of 36 - green, L",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,DHC-NAN-36,,,,,,4,,Color,green,,0,,,,,,,,,,,,,Size,L,,0,,,,
6112,variation,,,"Lobhan Earthy Resin Dhoop Cones | Easy-Light Temple Cones - Pack of 36 - green, M",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,DHC-NAN-36,,,,,,5,,Color,green,,0,,,,,,,,,,,,,Size,M,,0,,,,
6113,variation,,,"Lobhan Earthy Resin Dhoop Cones | Easy-Light Temple Cones - Pack of 36 - green, N",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,DHC-NAN-36,,,,,,6,,Color,green,,0,,,,,,,,,,,,,Size,N,,0,,,,
6114,variation,,,"Lobhan Earthy Resin Dhoop Cones | Easy-Light Temple Cones - Pack of 36 - rosd, L",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,DHC-NAN-36,,,,,,7,,Color,rosd,,0,,,,,,,,,,,,,Size,L,,0,,,,
6115,variation,,,"Lobhan Earthy Resin Dhoop Cones | Easy-Light Temple Cones - Pack of 36 - rosd, M",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,DHC-NAN-36,,,,,,8,,Color,rosd,,0,,,,,,,,,,,,,Size,M,,0,,,,
6116,variation,,,"Lobhan Earthy Resin Dhoop Cones | Easy-Light Temple Cones - Pack of 36 - rosd, N",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,DHC-NAN-36,,,,,,9,,Color,rosd,,0,,,,,,,,,,,,,Size,N,,0,,,,
